method,fold,accuracy,macro_F1,kappa
M1_MSI,1,0.8211205385316598,0.785824221305922,0.758836195237128
M1_MSI,2,0.83915544332211,0.7766311965062189,0.7811428408870814
M1_MSI,3,0.8217266287958482,0.769930050235805,0.7630705640548876
M2_Full_HSI,1,0.9152233363719234,0.8712186977710277,0.8870840159857903
M2_Full_HSI,2,0.9170173961840629,0.8798708511513281,0.886426521704882
M2_Full_HSI,3,0.9064450522477032,0.8855849376625772,0.8780799059359033
M3_HSI_Unmixing,1,0.9358390014725475,0.8990624746039051,0.9144055517730598
M3_HSI_Unmixing,2,0.9306257014590348,0.8996758851862601,0.9057662804738659
M3_HSI_Unmixing,3,0.9258012483343853,0.9082253958638081,0.9035081867421261
